NM_001005484.1	NP_001005484.1
XM_017000233.1	XP_016855722.1
XM_005244717.3	XP_005244774.1
NM_153339.1	NP_699170.1
XM_005244720.3	XP_005244777.1
NM_001256463.1	NP_001243392.1
NM_017871.5	NP_060341.2
XM_011541647.1	XP_011539949.1
NM_001256462.1	NP_001243391.1
XM_011541648.1	XP_011539950.1
NM_001256456.1	NP_001243385.1
NM_001256460.1	NP_001243389.1
XM_017001557.1	XP_016857046.1
XM_017001558.1	XP_016857047.1
XM_011541650.1	XP_011539952.1
XM_005244801.3	XP_005244858.1
NM_001029885.1	NP_001025056.1
XM_011542200.2	XP_011540502.1
XM_005244802.1	XP_005244859.1
XM_017002435.1	XP_016857924.1
NM_152228.2	NP_689414.1
XM_017002436.1	XP_016857925.1
NM_004421.2	NP_004412.2
XM_005244731.3	XP_005244788.1
XM_005244733.3	XP_005244790.1
XM_005244732.3	XP_005244789.1
XM_017001517.1	XP_016857006.1
XM_017001516.1	XP_016857005.1
NM_001282585.1	NP_001269514.1
NM_001282583.1	NP_001269512.1
NM_001282584.1	NP_001269513.1
NM_032348.3	NP_115724.1
NM_001282582.1	NP_001269511.1
NM_001127229.1	NP_001120701.1
NM_001127230.1	NP_001120702.1
NM_017900.2	NP_060370.1
XM_011541670.2	XP_011539972.1
NM_030937.4	NP_112199.2
XM_011542216.2	XP_011540518.1
XM_017002420.1	XP_016857909.1
XM_017002421.1	XP_016857910.1
XM_011542219.2	XP_011540521.1
XM_017002422.1	XP_016857911.1
XM_011542221.2	XP_011540523.1
NM_001320153.1	NP_001307082.1
NM_001320155.1	NP_001307084.1
XM_017002423.1	XP_016857912.1
NM_001039577.3	NP_001034666.1
NM_017971.3	NP_060441.2
NM_001318485.1	NP_001305414.1
XM_017001324.1	XP_016856813.1
NM_001145210.2	NP_001138682.1
XM_005244752.4	XP_005244809.1
XM_006710647.3	XP_006710710.1
XM_011541489.2	XP_011539791.1
XM_017001325.1	XP_016856814.1
NM_001243535.1	NP_001230464.1
XM_017001326.1	XP_016856815.1
NM_001243536.1	NP_001230465.1
NM_001146685.1	NP_001140157.1
XM_017003066.1	XP_016858555.1
NM_022834.4	NP_073745.2
NM_199121.2	NP_954572.2
NM_001039211.2	NP_001034300.2
XM_005244806.3	XP_005244863.1
XM_011542244.1	XP_011540546.1
NM_031921.5	NP_114127.3
XM_011542241.2	XP_011540543.1
NM_001317238.1	NP_001304167.1
XM_011542243.2	XP_011540545.1
NM_018188.3	NP_060658.3
NM_001170535.1	NP_001164006.1
XM_017001628.1	XP_016857117.1
NM_001170536.1	NP_001164007.1
NM_001114748.1	NP_001108220.1
NM_014188.2	NP_054907.1
NM_001242659.1	NP_001229588.1
XM_017000349.1	XP_016855838.1
XM_011540731.2	XP_011539033.1
XM_017000354.1	XP_016855843.1
XM_011540736.2	XP_011539038.1
XM_017000353.1	XP_016855842.1
XM_011540737.2	XP_011539039.1
XM_017000355.1	XP_016855844.1
XM_011540741.2	XP_011539043.1
XM_017000350.1	XP_016855839.1
XM_017000356.1	XP_016855845.1
XM_011540742.2	XP_011539044.1
XM_017000357.1	XP_016855846.1
XM_017000352.1	XP_016855841.1
XM_017000351.1	XP_016855840.1
XM_017000358.1	XP_016855847.1
XM_017000361.1	XP_016855850.1
NM_080875.2	NP_543151.2
XM_017000359.1	XP_016855848.1
NM_001170686.1	NP_001164157.1
XM_006710372.1	XP_006710435.1
XM_017000364.1	XP_016855853.1
NM_001170688.1	NP_001164159.1
XM_017000360.1	XP_016855849.1
NM_001170687.1	NP_001164158.1
XM_017000362.1	XP_016855851.1
XM_017000363.1	XP_016855852.1
NM_001170689.1	NP_001164160.1
XM_017000365.1	XP_016855854.1
XM_017000366.1	XP_016855855.1
XM_017002615.1	XP_016858104.1
XM_017002616.1	XP_016858105.1
NM_006983.1	NP_008914.1
XM_017002617.1	XP_016858106.1
NM_001291345.1	NP_001278274.1
XM_006711065.3	XP_006711128.1
XM_017002926.1	XP_016858415.1
XM_011542493.2	XP_011540795.1
NM_033486.2	NP_277021.2
NM_001787.2	NP_001778.2
XM_017002925.1	XP_016858414.1
XM_011542490.2	XP_011540792.1
XM_011542491.2	XP_011540793.1
XM_011542492.2	XP_011540794.1
XM_011542495.2	XP_011540797.1
NM_033489.2	NP_277024.2
XM_017002928.1	XP_016858417.1
XM_017002927.1	XP_016858416.1
XM_011542494.2	XP_011540796.1
NM_033490.2	NP_277025.1
XM_011542496.2	XP_011540798.1
NM_033487.2	NP_277022.1
XM_011542072.1	XP_011540374.1
NM_001110781.2	NP_001104251.1
NM_001290264.1	NP_001277193.1
NM_033529.3	NP_277071.2
NM_001313896.1	NP_001300825.1
NM_001313982.1	NP_001300911.1
NM_024011.3	NP_076916.2
NM_001199787.1	NP_001186716.1
NM_182838.2	NP_878258.1
NM_001198993.1	NP_001185922.1
XM_005244778.2	XP_005244835.1
NM_023018.4	NP_075394.3
XM_006710837.2	XP_006710900.1
XM_006710839.1	XP_006710902.1
NM_001198994.1	NP_001185923.1
XM_011542006.1	XP_011540308.1
XM_011542007.1	XP_011540309.1
XM_011542008.1	XP_011540310.1
XM_011542009.2	XP_011540311.1
XM_006710838.2	XP_006710901.1
NM_001198995.1	NP_001185924.1
XM_017002144.1	XP_016857633.1
XM_017002145.1	XP_016857634.1
XM_017002146.1	XP_016857635.1
XM_017002143.1	XP_016857632.1
XM_017001059.1	XP_016856548.1
XM_017001060.1	XP_016856549.1
XM_017001061.1	XP_016856550.1
NM_002074.4	NP_002065.1
NM_001282539.1	NP_001269468.1
NM_001282538.1	NP_001269467.1
XM_017003073.1	XP_016858562.1
XM_017003074.1	XP_016858563.1
XM_005244729.3	XP_005244786.2
NM_138705.2	NP_619650.2
XM_011540841.2	XP_011539143.1
NM_178545.3	NP_848640.1
NM_001304360.1	NP_001291289.1
XM_017002642.1	XP_016858131.1
XM_017002641.1	XP_016858130.1
XM_011542333.2	XP_011540635.2
XM_011542335.1	XP_011540637.1
XM_011542336.2	XP_011540638.1
XM_017002644.1	XP_016858133.1
XM_017002643.1	XP_016858132.1
NM_000815.4	NP_000806.2
XM_011541194.2	XP_011539496.1
XM_017000936.1	XP_016856425.1
XM_017001790.1	XP_016857279.1
NM_002744.4	NP_002735.3
XM_017001789.1	XP_016857278.1
XM_011541773.1	XP_011540075.1
XM_011541775.2	XP_011540077.1
XM_017001803.1	XP_016857292.1
NM_001242874.1	NP_001229803.1
XM_011541774.1	XP_011540076.1
XM_017001791.1	XP_016857280.1
XM_017001796.1	XP_016857285.1
XM_017001798.1	XP_016857287.1
XM_017001799.1	XP_016857288.1
NM_001033581.1	NP_001028753.1
NM_001033582.1	NP_001028754.1
XM_017001792.1	XP_016857281.1
XM_017001793.1	XP_016857282.1
XM_017001794.1	XP_016857283.1
XM_017001795.1	XP_016857284.1
XM_011541776.1	XP_011540078.1
XM_011541778.1	XP_011540080.1
XM_017001801.1	XP_016857290.1
XM_017001797.1	XP_016857286.1
XM_017001800.1	XP_016857289.1
XM_017001804.1	XP_016857293.1
XM_017001805.1	XP_016857294.1
XM_017001802.1	XP_016857291.1
XM_011542503.2	XP_011540805.1
NM_001146310.1	NP_001139782.1
NM_001256945.1	NP_001243874.1
XM_017000555.1	XP_016856044.1
XM_017000556.1	XP_016856045.1
NM_001282671.1	NP_001269600.1
NM_001282672.1	NP_001269601.1
XM_017000554.1	XP_016856043.1
NM_001282673.1	NP_001269602.1
NM_001282670.1	NP_001269599.1
NM_182533.2	NP_872339.2
NM_001256947.1	NP_001243876.1
XM_011540914.2	XP_011539216.1
XM_017000553.1	XP_016856042.1
XM_011540921.2	XP_011539223.1
XM_006710419.3	XP_006710482.1
XM_006710421.3	XP_006710484.1
NM_001256946.1	NP_001243875.1
XM_011540922.1	XP_011539224.1
XM_017000557.1	XP_016856046.1
XM_017003075.1	XP_016858564.1
XM_017003076.1	XP_016858565.1
XM_005244775.3	XP_005244832.1
NM_003036.3	NP_003027.1
XM_005244776.4	XP_005244833.1
XM_017002128.1	XP_016857617.1
XM_005244798.2	XP_005244855.1
XM_011542176.1	XP_011540478.1
XM_011542169.1	XP_011540471.1
NM_024848.2	NP_079124.1
XM_011542174.2	XP_011540476.1
XM_011542172.2	XP_011540474.1
XM_011542170.2	XP_011540472.1
XM_011542173.2	XP_011540475.1
XM_017002365.1	XP_016857854.1
NM_001301060.1	NP_001287989.1
XM_011542177.1	XP_011540479.1
XM_005244713.4	XP_005244770.2
XM_017000131.1	XP_016855620.1
XM_017000132.1	XP_016855621.1
XM_017000133.1	XP_016855622.1
XM_017000134.1	XP_016855623.1
XM_017000135.1	XP_016855624.1
NM_007033.4	NP_008964.3
XM_006710306.2	XP_006710369.1
XM_011540542.1	XP_011538844.1
XM_011540543.1	XP_011538845.1
NM_002617.3	NP_002608.1
XM_011541573.1	XP_011539875.1
NM_153818.1	NP_722540.1
XM_011541576.1	XP_011539878.1
XM_017002870.1	XP_016858359.1
XM_017002872.1	XP_016858361.1
XM_017002873.1	XP_016858362.1
XM_017002874.1	XP_016858363.1
XM_017002871.1	XP_016858360.1
XM_011542455.2	XP_011540757.1
XM_011542456.2	XP_011540758.1
NM_001303012.1	NP_001289941.1
NM_014638.3	NP_055453.2
NM_001303013.1	NP_001289942.1
NM_018216.2	NP_060686.2
XM_017001633.1	XP_016857122.1
XM_011541708.2	XP_011540010.2
NM_001010926.3	NP_001010926.1
XM_005244751.4	XP_005244808.1
NM_003820.3	NP_003811.2
XM_006711019.2	XP_006711082.1
NM_001297605.1	NP_001284534.1
XM_017002721.1	XP_016858210.1
XM_017002718.1	XP_016858207.1
XM_017002719.1	XP_016858208.1
XM_011542383.2	XP_011540685.1
XM_017002720.1	XP_016858209.1
XM_011540664.1	XP_011538966.1
XM_006710354.3	XP_006710417.1
XM_011540665.1	XP_011538967.1
NM_001195736.1	NP_001182665.1
NM_001195737.1	NP_001182666.1
NM_152371.3	NP_689584.2
NM_001195740.1	NP_001182669.1
NM_001195741.1	NP_001182670.1
XM_011540666.1	XP_011538968.1
NM_001195738.1	NP_001182667.1
XM_017002312.1	XP_016857801.1
XM_017002311.1	XP_016857800.1
XM_017002314.1	XP_016857803.1
XM_017002313.1	XP_016857802.1
XM_017002310.1	XP_016857799.1
NM_033467.3	NP_258428.2
XM_017002315.1	XP_016857804.1
XM_011542122.2	XP_011540424.1
XM_016999990.1	XP_016855479.1
NM_001242672.1	NP_001229601.1
NM_080431.4	NP_536356.3
XM_005244772.4	XP_005244829.1
XM_005244773.4	XP_005244830.1
XM_006710814.3	XP_006710877.1
NM_022114.3	NP_071397.3
NM_199454.2	NP_955533.2
XM_017002050.1	XP_016857539.1
XM_005244774.4	XP_005244831.1
XM_011541945.2	XP_011540247.1
XM_017001049.1	XP_016856538.1
XM_017001050.1	XP_016856539.1
XM_017001051.1	XP_016856540.1
NM_014448.3	NP_055263.2
XM_017000533.1	XP_016856022.1
XM_011540886.1	XP_011539188.1
XM_011540885.1	XP_011539187.1
NM_001409.3	NP_001400.3
XM_011540887.2	XP_011539189.1
XM_006710406.3	XP_006710469.1
XM_011540888.2	XP_011539190.1
NM_182752.3	NP_877429.2
XM_005244754.1	XP_005244811.1
XM_017001387.1	XP_016856876.1
NM_017818.3	NP_060288.3
NM_005427.3	NP_005418.1
NM_001204187.1	NP_001191116.1
NM_001204188.1	NP_001191117.1
NM_001204184.1	NP_001191113.1
NM_001204186.1	NP_001191115.1
NM_001204185.1	NP_001191114.1
NM_001126240.2	NP_001119712.1
NM_001204190.1	NP_001191119.1
NM_001204191.1	NP_001191120.1
NM_001126241.2	NP_001119713.1
NM_001204189.1	NP_001191118.1
NM_001126242.2	NP_001119714.1
NM_001204192.1	NP_001191121.1
XM_017000403.1	XP_016855892.1
NM_152492.2	NP_689705.2
XM_017000402.1	XP_016855891.1
XM_011540780.1	XP_011539082.1
XM_017000404.1	XP_016855893.1
XM_017000405.1	XP_016855894.1
XM_017000406.1	XP_016855895.1
NM_001163724.2	NP_001157196.1
NM_001288583.1	NP_001275512.1
NM_020710.2	NP_065761.1
XM_017002917.1	XP_016858406.1
XM_005244815.4	XP_005244872.1
XM_011542477.2	XP_011540779.1
XM_011542475.2	XP_011540777.1
XM_011542476.2	XP_011540778.1
XM_011542473.2	XP_011540775.1
XM_017002918.1	XP_016858407.1
XM_017002919.1	XP_016858408.1
NM_014704.3	NP_055519.1
XM_011542474.2	XP_011540776.1
XM_011542478.1	XP_011540780.1
NM_001282669.1	NP_001269598.1
NM_004402.3	NP_004393.1
XM_017000498.1	XP_016855987.1
XM_017000499.1	XP_016855988.1
XM_017000500.1	XP_016855989.1
XM_011540865.2	XP_011539167.1
NM_001320132.1	NP_001307061.1
NM_001320136.1	NP_001307065.1
NM_207356.2	NP_997239.2
XM_005244743.3	XP_005244800.1
XM_011541323.2	XP_011539625.1
NM_001042478.1	NP_001035943.1
XM_011541786.2	XP_011540088.1
NM_018836.3	NP_061324.1
XM_011541787.2	XP_011540089.1
XM_011541215.1	XP_011539517.1
XM_017000996.1	XP_016856485.1
XM_011541213.1	XP_011539515.1
XM_011541214.1	XP_011539516.1
XM_017000997.1	XP_016856486.1
NM_015102.4	NP_055917.1
XM_006710563.3	XP_006710626.1
XM_011541216.2	XP_011539518.1
XM_011541217.2	XP_011539519.1
XM_011541218.2	XP_011539520.1
XM_017000999.1	XP_016856488.1
XM_017001000.1	XP_016856489.1
XM_017001001.1	XP_016856490.1
XM_017001003.1	XP_016856492.1
NM_001291593.1	NP_001278522.1
NM_001291594.1	NP_001278523.1
XM_017000998.1	XP_016856487.1
XM_017001002.1	XP_016856491.1
NM_001199860.1	NP_001186789.1
NM_001199861.1	NP_001186790.1
NM_003636.3	NP_003627.1
NM_172130.2	NP_742128.1
XM_005263514.2	XP_005263571.1
XM_011542321.2	XP_011540623.1
XM_011542322.2	XP_011540624.1
XM_017002621.1	XP_016858110.1
XM_017002618.1	XP_016858107.1
XM_017002619.1	XP_016858108.1
NM_001199862.1	NP_001186791.1
XM_017002620.1	XP_016858109.1
NM_001199863.1	NP_001186792.1
NM_015557.2	NP_056372.1
NM_000983.3	NP_000974.1
XM_011541439.2	XP_011539741.1
XM_017001259.1	XP_016856748.1
NM_207396.2	NP_997279.2
NM_012405.3	NP_036537.1
XM_011541140.2	XP_011539442.1
NM_001024598.3	NP_001019769.1
XM_017001250.1	XP_016856739.1
NM_207370.2	NP_997253.2
XM_011541434.2	XP_011539736.1
XM_017001251.1	XP_016856740.1
NM_007274.3	NP_009205.3
NM_181864.2	NP_863654.1
NM_181865.2	NP_863655.1
NM_181866.2	NP_863656.1
NM_019089.4	NP_061962.2
XM_017002433.1	XP_016857922.1
NM_031475.2	NP_113663.2
XM_005263501.2	XP_005263558.1
XM_011542231.1	XP_011540533.1
XM_011542232.1	XP_011540534.1
XM_011542238.2	XP_011540540.1
XM_017002434.1	XP_016857923.1
XM_011542237.1	XP_011540539.1
XM_011542233.2	XP_011540535.1
XM_011542236.2	XP_011540538.1
NM_148970.1	NP_683871.1
NM_148967.1	NP_683868.1
NM_148966.1	NP_683867.1
NM_003790.2	NP_003781.1
NM_148965.1	NP_683866.1
NM_001039664.1	NP_001034753.1
NM_198681.3	NP_941374.2
NM_001042663.1	NP_001036128.1
NM_001265592.1	NP_001252521.1
NM_001265593.1	NP_001252522.1
NM_001042664.1	NP_001036129.1
NM_001042665.1	NP_001036130.1
NM_020631.4	NP_065682.2
NM_001265594.1	NP_001252523.1
NM_024654.4	NP_078930.3
XM_005263493.3	XP_005263550.1
XM_017002338.1	XP_016857827.1
XM_017002339.1	XP_016857828.1
XM_011542147.2	XP_011540449.1
XM_017002337.1	XP_016857826.1
NM_138697.3	NP_619642.2
NM_177540.2	NP_803884.1
XM_017002402.1	XP_016857891.1
XM_017002403.1	XP_016857892.1
XM_011542206.2	XP_011540508.1
XM_011542203.2	XP_011540505.1
NM_005341.3	NP_005332.1
NM_001278647.1	NP_001265576.1
NM_001278648.1	NP_001265577.1
XM_017001111.1	XP_016856600.1
XM_017001110.1	XP_016856599.1
XM_017001112.1	XP_016856601.1
XM_017001113.1	XP_016856602.1
XM_017001114.1	XP_016856603.1
NM_014851.3	NP_055666.2
NM_001324309.1	NP_001311238.1
NM_153812.2	NP_722519.2
XM_011540762.1	XP_011539064.1
NM_138350.3	NP_612359.2
XM_017002761.1	XP_016858250.1
NM_001195753.1	NP_001182682.1
NM_001195752.1	NP_001182681.1
XM_005263532.3	XP_005263589.1
XM_011542401.2	XP_011540703.1
XM_011542400.2	XP_011540702.1
NM_018198.3	NP_060668.2
XM_017001745.1	XP_016857234.1
XM_011541083.2	XP_011539385.1
XM_011541086.2	XP_011539388.1
XM_011541089.2	XP_011539391.1
XM_017000777.1	XP_016856266.1
XM_011541087.2	XP_011539389.1
XM_011541084.2	XP_011539386.1
NM_015215.3	NP_056030.1
XM_011541090.2	XP_011539392.1
XM_017000778.1	XP_016856267.1
XM_017000774.1	XP_016856263.1
XM_011541091.2	XP_011539393.1
XM_011541092.2	XP_011539394.1
XM_017000780.1	XP_016856269.1
NM_001242701.1	NP_001229630.1
XM_017000781.1	XP_016856270.1
NM_001195563.1	NP_001182492.1
XM_011541088.2	XP_011539390.1
XM_017000775.1	XP_016856264.1
XM_017000779.1	XP_016856268.1
XM_017000773.1	XP_016856262.1
XM_011541085.2	XP_011539387.1
XM_017000776.1	XP_016856265.1
NM_004781.3	NP_004772.1
XM_017002841.1	XP_016858330.1
NM_001289862.1	NP_001276791.1
XM_011542385.2	XP_011540687.1
NM_001289861.1	NP_001276790.1
XM_017002725.1	XP_016858214.1
XM_011542390.2	XP_011540692.1
NM_001289863.1	NP_001276792.1
XM_017002723.1	XP_016858212.1
XM_017002724.1	XP_016858213.1
XM_017002726.1	XP_016858215.1
NM_016831.2	NP_058515.1
XM_005263524.3	XP_005263581.1
XM_017002727.1	XP_016858216.1
XM_017002728.1	XP_016858217.1
XM_017002730.1	XP_016858219.1
XM_017002731.1	XP_016858220.1
XM_017002732.1	XP_016858221.1
XM_017002729.1	XP_016858218.1
XM_017002733.1	XP_016858222.1
XM_017002734.1	XP_016858223.1
XM_017002735.1	XP_016858224.1
XM_017002736.1	XP_016858225.1
NM_001289864.1	NP_001276793.1
XM_017002737.1	XP_016858226.1
XM_017002738.1	XP_016858227.1
XM_017000116.1	XP_016855605.1
XM_017000118.1	XP_016855607.1
XM_017000117.1	XP_016855606.1
XM_017000119.1	XP_016855608.1
NM_021995.2	NP_068835.1
XM_011540537.2	XP_011538839.1
NM_006786.3	NP_006777.1
XM_011540538.1	XP_011538840.1
NM_001561.5	NP_001552.2
XM_011541386.2	XP_011539688.1
XM_006710618.3	XP_006710681.1
NM_001123377.1	NP_001116849.1
NM_007262.4	NP_009193.2
XM_005263424.3	XP_005263481.1
NM_018948.3	NP_061821.1
XM_006710697.2	XP_006710760.1
XM_005263477.2	XP_005263534.1
XM_011541596.2	XP_011539898.1
XM_011541530.1	XP_011539832.1
NM_001080397.2	NP_001073866.2
XM_011541531.1	XP_011539833.1
XM_011541510.1	XP_011539812.1
XM_017001358.1	XP_016856847.1
XM_017001359.1	XP_016856848.1
NM_012102.3	NP_036234.3
NM_001042681.1	NP_001036146.1
XM_005263464.2	XP_005263521.1
XM_005263466.1	XP_005263523.1
NM_001042682.1	NP_001036147.1
XM_011541511.1	XP_011539813.1
NM_001428.3	NP_001419.1
XM_006710433.2	XP_006710496.1
NM_001201483.1	NP_001188412.1
XM_011542084.2	XP_011540386.1
XM_011542083.2	XP_011540385.1
NM_001215.3	NP_001206.2
NM_001270501.1	NP_001257430.1
NM_001270500.1	NP_001257429.1
NM_001270502.1	NP_001257431.1
XM_011540824.2	XP_011539126.1
NM_207420.2	NP_997303.2
XM_011540825.2	XP_011539127.1
XM_017002133.1	XP_016857622.1
XM_017002134.1	XP_016857623.1
XM_017002135.1	XP_016857624.1
XM_017002136.1	XP_016857625.1
XM_017002137.1	XP_016857626.1
XM_017002138.1	XP_016857627.1
XM_017002139.1	XP_016857628.1
XM_017002140.1	XP_016857629.1
XM_017002141.1	XP_016857630.1
NM_003039.2	NP_003030.1
XM_005263491.3	XP_005263548.1
XM_017002142.1	XP_016857631.1
NM_001135585.1	NP_001129057.1
XM_005263497.4	XP_005263554.1
XM_005263496.4	XP_005263553.1
NM_024980.4	NP_079256.4
NM_001282587.1	NP_001269516.1
XM_005263540.4	XP_005263597.1
XM_017002865.1	XP_016858354.1
NM_004285.3	NP_004276.2
XM_006711052.3	XP_006711115.1
XM_017002866.1	XP_016858355.1
NM_025106.3	NP_079382.2
NM_032315.2	NP_115691.1
XM_011542296.1	XP_011540598.1
XM_005263503.3	XP_005263560.1
XM_017000549.1	XP_016856038.1
XM_017000550.1	XP_016856039.1
NM_001130924.2	NP_001124396.2
XM_006710417.3	XP_006710480.1
NM_001010866.3	NP_001010866.1
XM_011540910.2	XP_011539212.1
XM_017000551.1	XP_016856040.1
XM_017000552.1	XP_016856041.1
XM_017003077.1	XP_016858566.1
XM_017001476.1	XP_016856965.1
XM_017001477.1	XP_016856966.1
XM_017001478.1	XP_016856967.1
XM_017001479.1	XP_016856968.1
XM_017001480.1	XP_016856969.1
XM_017001481.1	XP_016856970.1
XM_017001482.1	XP_016856971.1
NM_005026.3	NP_005017.3
XM_006710687.2	XP_006710750.1
XM_006710689.2	XP_006710752.1
XM_017001484.1	XP_016856973.1
XM_017001483.1	XP_016856972.1
XM_017001485.1	XP_016856974.1
NM_014944.4	NP_055759.3
NM_001302883.1	NP_001289812.1
NM_001009566.2	NP_001009566.1
XM_017001853.1	XP_016857342.1
XM_017001854.1	XP_016857343.1
XM_017001855.1	XP_016857344.1
NM_001012329.1	NP_001012329.1
NM_020248.2	NP_064633.1
XM_005263506.2	XP_005263563.1
NM_001316975.1	NP_001303904.1
XM_017002546.1	XP_016858035.1
XM_017002547.1	XP_016858036.1
XM_005263509.2	XP_005263566.1
NM_001316976.1	NP_001303905.1
NM_001316974.1	NP_001303903.1
NM_032368.4	NP_115744.2
NM_001316973.1	NP_001303902.1
XM_017002108.1	XP_016857597.1
XM_011541971.2	XP_011540273.1
XM_017002107.1	XP_016857596.1
NM_022787.3	NP_073624.2
NM_001297778.1	NP_001284707.1
NM_001297779.1	NP_001284708.1
NM_052960.2	NP_443192.1
XM_005263422.1	XP_005263479.1
NM_001105562.2	NP_001099032.1
NM_006048.4	NP_006039.2
XM_011540490.1	XP_011538792.1
XM_011540489.2	XP_011538791.1
XM_011540488.2	XP_011538790.1
XM_017000036.1	XP_016855525.1
XM_017000035.1	XP_016855524.1
NM_015074.3	NP_055889.2
NM_183416.3	NP_904325.2
NM_002631.3	NP_002622.2
NM_001304451.1	NP_001291380.1
NM_001304452.1	NP_001291381.1
NM_198544.3	NP_940946.1
NM_199006.2	NP_950171.2
NM_001270517.1	NP_001257446.1
